elapsed_seconds,distance_miles,pace_per_mile,heartrate,altitude_ft
0,0.0,,73,185.7
1,0.0,24:23,73,185.0
2,0.0,23:19,74,184.4
3,0.0,17:52,77,183.7
4,0.01,15:19,78,183.7
5,0.01,14:07,80,183.1
6,0.01,12:25,86,183.1
7,0.01,11:05,86,183.1
8,0.01,10:48,85,183.1
9,0.01,10:48,85,183.1
10,0.01,10:48,85,183.1
11,0.02,10:43,86,183.1
12,0.02,10:43,88,183.1
13,0.02,10:43,89,183.1
14,0.02,10:33,90,182.4
15,0.02,10:23,91,182.4
16,0.02,10:14,93,182.4
17,0.03,10:05,94,182.4
18,0.03,9:56,95,182.4
19,0.03,9:56,96,182.4
20,0.03,10:00,96,182.4
21,0.03,10:05,96,182.4
22,0.03,10:14,98,182.4
23,0.04,10:23,99,182.4
24,0.04,10:33,99,182.4
25,0.04,10:38,101,182.4
26,0.04,10:43,101,182.4
27,0.04,10:38,101,183.1
28,0.04,10:43,102,183.1
29,0.04,10:43,103,183.1
30,0.05,10:38,103,183.7
31,0.05,10:38,104,183.7
32,0.05,10:43,106,183.7
33,0.05,13:16,107,183.7
34,0.05,17:38,108,183.7
35,0.05,25:47,108,183.7
36,0.05,34:23,108,183.7
37,0.05,26:17,108,183.7
38,0.05,19:26,108,183.7
39,0.05,18:07,109,183.7
40,0.05,15:24,110,183.7
41,0.06,14:54,110,184.4
42,0.06,21:17,111,184.4
43,0.06,20:57,111,184.4
44,0.06,16:45,111,184.4
45,0.06,15:24,110,185.0
46,0.06,15:24,109,185.0
47,0.06,13:32,111,185.0
48,0.06,14:16,111,185.0
49,0.06,15:14,113,185.0
50,0.07,15:57,114,185.0
51,0.07,16:09,115,185.0
52,0.07,18:22,116,185.0
53,0.07,18:07,117,185.0
54,0.07,16:09,118,185.0
55,0.07,15:14,119,185.0
56,0.07,14:34,119,185.0
57,0.07,13:49,120,185.7
58,0.07,14:25,121,186.4
59,0.07,17:11,121,186.4
60,0.08,17:25,121,187.0
61,0.08,17:52,121,187.0
62,0.08,18:07,123,187.0
63,0.08,17:38,123,186.4
64,0.08,16:21,124,187.0
65,0.08,17:52,124,187.0
66,0.08,17:52,125,187.0
67,0.08,17:52,125,187.7
68,0.08,16:33,125,187.7
69,0.08,16:21,125,188.3
70,0.09,15:46,125,187.7
71,0.09,14:54,126,187.7
72,0.09,14:07,125,188.3
73,0.09,13:58,125,188.3
74,0.09,13:24,125,188.3
75,0.09,13:16,125,188.3
76,0.09,13:16,125,189.0
77,0.09,13:58,125,189.0
78,0.1,13:58,124,189.0
79,0.1,14:16,125,189.0
80,0.1,14:44,125,189.6
81,0.1,15:46,125,189.6
82,0.1,14:54,125,189.6
83,0.1,14:25,125,189.6
84,0.1,13:49,125,190.3
85,0.1,13:49,125,190.3
86,0.1,13:32,125,190.3
87,0.11,13:49,126,190.3
88,0.11,14:07,126,189.6
89,0.11,14:44,127,189.6
90,0.11,14:16,127,190.3
91,0.11,13:32,127,190.3
92,0.11,13:16,127,190.9
93,0.11,13:08,129,191.6
94,0.12,12:18,128,191.6
95,0.12,11:58,128,191.6
96,0.12,12:11,128,191.6
97,0.12,12:11,128,192.3
98,0.12,12:18,128,192.3
99,0.12,13:01,128,192.3
100,0.12,13:58,127,192.9
101,0.12,14:44,127,192.9
102,0.12,15:14,127,192.9
103,0.13,15:24,127,192.3
104,0.13,15:35,127,192.3
105,0.13,15:24,127,192.3
106,0.13,14:07,127,192.3
107,0.13,14:07,128,192.3
108,0.13,14:54,128,192.9
109,0.13,15:14,128,192.9
110,0.13,14:16,128,192.9
111,0.14,14:34,128,192.9
112,0.14,14:34,127,192.9
113,0.14,13:16,125,192.9
114,0.14,12:53,123,192.9
115,0.14,12:32,123,192.9
116,0.14,12:04,123,193.6
117,0.14,12:18,123,193.6
118,0.14,13:41,123,193.6
119,0.14,14:07,123,194.2
120,0.15,14:54,123,194.2
121,0.15,15:35,123,194.9
122,0.15,14:44,124,194.9
123,0.15,13:08,124,194.9
124,0.15,12:11,124,195.5
125,0.15,11:16,124,195.5
126,0.15,11:21,124,196.2
127,0.16,11:16,125,196.2
128,0.16,11:58,125,195.5
129,0.16,12:25,125,195.5
130,0.16,13:58,125,195.5
131,0.16,13:49,126,195.5
132,0.16,14:16,126,195.5
133,0.16,14:16,126,195.5
134,0.16,14:44,126,195.5
135,0.17,14:34,126,195.5
136,0.17,15:14,126,195.5
137,0.17,15:46,126,195.5
138,0.17,14:54,127,195.5
139,0.17,18:22,127,195.5
140,0.17,14:54,128,194.9
141,0.17,14:07,129,194.2
142,0.17,13:49,129,194.2
143,0.17,14:34,130,192.9
144,0.18,12:32,128,192.9
145,0.18,13:49,128,192.9
146,0.18,14:44,128,192.9
147,0.18,14:25,130,193.6
148,0.18,13:32,130,193.6
149,0.18,12:50,130,193.6
150,0.18,13:24,129,193.6
151,0.18,12:50,130,192.9
152,0.19,12:46,131,192.3
153,0.19,13:16,131,192.3
154,0.19,13:20,130,192.3
155,0.19,13:24,130,192.3
156,0.19,14:02,129,192.9
157,0.19,14:16,130,192.9
158,0.19,13:49,130,192.9
159,0.19,13:41,129,192.9
160,0.2,13:24,129,192.3
161,0.2,12:53,129,192.3
162,0.2,12:32,128,191.6
163,0.2,15:46,128,191.6
164,0.2,13:16,128,191.6
165,0.2,13:49,129,192.3
166,0.2,13:58,129,192.3
167,0.2,14:54,129,192.9
168,0.2,12:18,130,193.6
169,0.21,13:49,130,193.6
170,0.21,13:32,129,193.6
171,0.21,13:41,127,192.9
172,0.21,13:01,127,192.9
173,0.21,12:53,125,192.3
174,0.21,13:41,123,191.6
175,0.21,13:32,122,191.6
176,0.21,13:08,122,191.6
177,0.22,12:53,121,190.9
178,0.22,12:39,120,191.6
179,0.22,12:25,120,191.6
180,0.22,12:32,120,191.6
181,0.22,13:24,120,191.6
182,0.22,14:25,119,190.9
183,0.22,15:14,118,190.9
184,0.22,15:35,119,190.3
185,0.23,14:54,120,189.6
186,0.23,14:44,120,189.0
187,0.23,14:54,121,189.0
188,0.23,13:08,122,188.3
189,0.23,13:01,122,188.3
190,0.23,13:24,124,188.3
191,0.23,11:58,125,188.3
192,0.24,11:21,126,188.3
193,0.24,13:01,126,188.3
194,0.24,12:39,126,189.0
195,0.24,12:25,126,189.0
196,0.24,13:41,126,189.0
197,0.24,13:49,125,189.0
198,0.24,13:24,124,189.0
199,0.24,14:07,124,188.3
200,0.24,14:44,124,188.3
201,0.25,14:34,125,188.3
202,0.25,15:35,125,187.7
203,0.25,14:34,125,187.0
204,0.25,13:49,124,187.0
205,0.25,14:34,123,186.4
206,0.25,14:44,122,186.4
207,0.25,14:25,120,186.4
208,0.25,14:54,120,186.4
209,0.25,15:14,119,186.4
210,0.26,15:04,119,185.7
211,0.26,14:25,119,185.7
212,0.26,13:49,119,185.7
213,0.26,13:58,120,185.0
214,0.26,13:58,120,185.0
215,0.26,13:32,120,185.7
216,0.26,13:24,121,185.7
217,0.26,13:01,121,185.0
218,0.27,12:18,120,185.7
219,0.27,12:18,119,185.7
220,0.27,12:04,119,185.0
221,0.27,15:04,118,185.7
222,0.27,13:26,116,185.7
223,0.27,13:56,116,185.0
224,0.27,13:52,117,185.0
225,0.27,13:41,118,185.0
226,0.28,11:05,118,184.4
227,0.28,12:10,116,184.4
228,0.28,11:40,115,183.7
229,0.28,12:08,115,183.7
230,0.28,12:39,115,183.7
231,0.28,12:18,115,183.1
232,0.28,12:32,114,183.1
233,0.29,13:32,114,183.1
234,0.29,13:32,115,183.7
235,0.29,16:21,115,183.7
236,0.29,15:14,115,183.7
237,0.29,15:24,115,184.4
238,0.29,15:24,115,183.7
239,0.29,14:44,116,183.7
240,0.29,11:52,118,183.7
241,0.29,13:08,118,183.7
242,0.3,13:24,119,183.7
243,0.3,13:16,118,183.1
244,0.3,13:32,117,183.1
245,0.3,14:16,117,183.1
246,0.3,18:22,117,182.4
247,0.3,14:44,116,182.4
248,0.3,14:54,116,182.4
249,0.3,14:44,116,182.4
250,0.31,13:49,117,182.4
251,0.31,11:33,117,182.4
252,0.31,14:07,117,182.4
253,0.31,14:25,119,182.4
254,0.31,14:25,120,183.1
255,0.31,14:54,120,183.1
256,0.31,15:04,120,183.1
257,0.31,14:16,120,183.1
258,0.31,17:11,120,183.1
259,0.32,14:07,118,183.1
260,0.32,13:58,117,183.1
261,0.32,13:32,117,183.1
262,0.32,13:32,117,183.1
263,0.32,11:33,117,183.7
264,0.32,14:07,117,183.7
265,0.32,14:25,117,183.7
266,0.32,15:24,116,183.7
267,0.32,15:57,116,183.7
268,0.33,15:24,117,183.7
269,0.33,14:54,118,183.7
270,0.33,15:14,118,183.1
271,0.33,14:34,119,183.1
272,0.33,14:16,119,183.1
273,0.33,14:25,119,183.7
274,0.33,14:16,119,183.7
275,0.33,14:16,117,184.4
276,0.34,14:25,116,184.4
277,0.34,14:16,117,184.4
278,0.34,14:16,118,183.7
279,0.34,18:07,118,183.1
280,0.34,18:37,120,183.1
281,0.34,13:41,121,183.1
282,0.34,13:49,122,183.1
283,0.34,13:41,122,183.1
284,0.34,11:21,122,183.7
285,0.35,11:10,122,183.7
286,0.35,14:07,123,183.7
287,0.35,14:16,122,183.7
288,0.35,14:16,122,183.7
289,0.35,14:34,121,183.7
290,0.35,14:16,121,184.4
291,0.35,14:34,122,184.4
292,0.35,15:14,122,184.4
293,0.35,15:24,122,184.4
294,0.36,15:14,121,184.4
295,0.36,15:46,121,184.4
296,0.36,14:44,122,183.7
297,0.36,13:24,122,183.7
298,0.36,12:53,123,184.4
299,0.36,12:18,124,184.4
300,0.36,10:59,124,184.4
301,0.37,11:05,123,185.0
302,0.37,13:41,123,185.0
303,0.37,11:58,123,185.0
304,0.37,12:46,123,185.0
305,0.37,15:04,122,185.0
306,0.37,16:09,123,185.0
307,0.37,13:01,123,185.0
308,0.37,13:58,124,185.0
309,0.38,13:24,124,185.0
310,0.38,12:18,125,185.0
311,0.38,11:39,124,185.0
312,0.38,11:27,124,185.0
313,0.38,12:46,124,185.0
314,0.38,12:53,124,185.0
315,0.38,13:24,125,185.0
316,0.38,14:25,126,185.0
317,0.39,14:44,127,185.0
318,0.39,14:25,129,185.0
319,0.39,14:16,130,185.0
320,0.39,13:16,130,184.4
321,0.39,12:53,130,184.4
322,0.39,12:32,130,184.4
323,0.39,12:39,130,184.4
324,0.39,12:32,131,184.4
325,0.4,12:53,130,184.4
326,0.4,12:21,130,184.4
327,0.4,12:25,130,184.4
328,0.4,12:18,130,184.4
329,0.4,12:25,130,184.4
330,0.4,13:01,132,184.4
331,0.4,14:02,132,184.4
332,0.4,15:14,132,184.4
333,0.4,19:43,132,184.4
334,0.41,21:17,133,184.4
335,0.41,17:25,133,184.4
336,0.41,16:45,133,184.4
337,0.41,16:21,133,184.4
338,0.41,13:08,132,184.4
339,0.41,12:32,134,184.4
340,0.41,14:16,134,184.4
341,0.41,13:32,133,183.7
342,0.42,13:24,133,183.7
343,0.42,12:46,132,183.1
344,0.42,15:57,132,183.7
345,0.42,15:35,133,183.7
346,0.42,16:09,133,183.7
347,0.42,15:24,133,183.7
348,0.42,15:57,135,183.7
349,0.43,10:18,136,183.1
350,0.43,10:28,135,183.1
351,0.43,10:14,135,183.1
352,0.43,10:18,135,183.7
353,0.43,10:43,135,183.1
354,0.43,13:41,134,183.1
355,0.43,13:24,134,183.1
356,0.43,13:24,133,182.4
357,0.44,13:08,132,182.4
358,0.44,12:46,131,182.4
359,0.44,12:46,130,183.1
360,0.44,12:04,129,183.1
361,0.44,12:04,129,183.1
362,0.44,12:39,127,183.1
363,0.44,12:11,127,183.7
364,0.44,11:45,126,183.7
365,0.45,12:25,127,183.7
366,0.45,11:33,127,183.7
367,0.45,13:41,127,183.7
368,0.45,11:52,128,183.1
369,0.45,11:58,129,183.1
370,0.45,11:39,129,183.1
371,0.45,12:39,129,183.1
372,0.46,10:33,130,183.1
373,0.46,12:46,130,183.1
374,0.46,13:01,131,183.1
375,0.46,13:41,131,183.7
376,0.46,13:24,132,183.7
377,0.46,13:01,132,183.1
378,0.46,13:01,132,183.1
379,0.47,12:04,132,183.1
380,0.47,11:45,132,183.1
381,0.47,12:32,132,183.1
382,0.47,13:01,132,183.1
383,0.47,12:39,132,183.1
384,0.47,14:25,132,183.7
385,0.47,16:09,132,183.7
386,0.47,15:46,132,184.4
387,0.47,17:11,132,184.4
388,0.47,23:07,132,184.4
389,0.48,17:25,132,184.4
390,0.48,15:04,132,185.0
391,0.48,14:25,132,185.0
392,0.48,13:49,132,185.7
393,0.48,11:33,132,185.7
394,0.48,12:46,133,185.7
395,0.48,13:41,133,186.4
396,0.48,13:01,133,186.4
397,0.49,12:18,133,187.0
398,0.49,11:58,132,187.0
399,0.49,12:32,133,187.7
400,0.49,12:25,133,187.0
401,0.49,14:25,134,187.0
402,0.49,15:24,133,187.0
403,0.49,15:46,132,187.0
404,0.49,15:46,133,187.0
405,0.5,15:46,133,187.7
406,0.5,14:44,133,187.7
407,0.5,13:32,133,188.3
408,0.5,13:49,132,188.3
409,0.5,14:25,133,188.3
410,0.5,17:38,133,188.3
411,0.5,14:16,136,189.0
412,0.5,14:54,133,189.0
413,0.51,13:58,132,189.0
414,0.51,12:35,132,189.6
415,0.51,10:14,132,189.6
416,0.51,11:58,132,189.6
417,0.51,11:45,131,189.6
418,0.51,12:18,132,189.6
419,0.51,13:05,132,190.3
420,0.51,13:58,133,190.3
421,0.51,14:25,133,190.3
422,0.52,15:24,133,190.3
423,0.52,15:46,134,190.3
424,0.52,15:04,134,190.9
425,0.52,18:53,134,190.9
426,0.52,16:33,133,190.3
427,0.52,12:32,134,190.3
428,0.52,12:18,134,190.3
429,0.52,12:53,134,189.6
430,0.53,11:33,135,189.6
431,0.53,12:25,134,190.3
432,0.53,15:57,135,190.9
433,0.53,16:09,135,191.6
434,0.53,14:44,136,191.6
435,0.53,13:24,136,192.3
436,0.53,13:24,136,192.3
437,0.53,13:16,138,192.9
438,0.54,13:16,138,193.6
439,0.54,14:34,139,194.2
440,0.54,14:25,139,194.2
441,0.54,13:58,139,194.2
442,0.54,14:07,140,194.2
443,0.54,13:49,139,194.2
444,0.54,13:08,139,194.2
445,0.54,12:46,139,194.2
446,0.55,12:39,139,194.2
447,0.55,12:18,140,194.2
448,0.55,12:04,141,194.2
449,0.55,14:54,140,194.2
450,0.55,13:32,141,193.6
