date,name,distance_miles,duration,duration_seconds,avg_pace_per_mile,avg_heartrate,max_heartrate,elevation_gain_ft,hr_zone_1_sec,hr_zone_2_sec,hr_zone_3_sec,hr_zone_4_sec,hr_zone_5_sec,activity_id
2026-04-27 13:26,St James Park Run,2.79,38:35,2315,13:50,148.3,172.0,88.6,343.0,1874.0,92.0,0.0,0.0,18278234834
2026-04-26 14:39,Regent’s Park Run,3.21,44:27,2667,13:49,150.4,168.0,91.9,331.0,2300.0,32.0,0.0,0.0,18267118891
2026-04-24 16:27,Hyde Park Run,3.04,42:06,2526,13:51,148.4,171.0,121.4,417.0,2013.0,98.0,0.0,0.0,18240778966
2026-04-21 15:17,Afternoon Run,3.61,53:16,3196,14:46,150.4,172.0,131.2,581.0,2378.0,237.0,0.0,0.0,18203268471
2026-04-20 10:28,Morning Run,2.38,36:32,2192,15:22,141.2,167.0,98.4,540.0,1642.0,1.0,0.0,0.0,18185095465
2026-04-18 11:43,Lunch Run,3.4,48:55,2935,14:22,154.2,168.0,88.6,84.0,2826.0,14.0,0.0,0.0,18162904870
2026-04-17 14:49,Afternoon Run,3.03,42:03,2523,13:51,145.4,165.0,134.5,384.0,2136.0,0.0,0.0,0.0,18149116267
2026-04-15 08:55,Morning Run,3.6,51:24,3084,14:16,146.9,167.0,134.5,305.0,2777.0,2.0,0.0,0.0,18118601750
2026-04-13 12:23,Lunch Run,2.25,31:08,1868,13:49,147.9,168.0,88.6,296.0,1561.0,11.0,0.0,0.0,18093554625
2026-04-12 07:16,Morning Run,3.54,45:14,2714,12:47,157.0,181.0,177.2,310.0,1533.0,871.0,0.0,0.0,18079577964
2026-04-09 09:49,Morning Run,2.51,35:04,2104,13:57,151.1,166.0,42.7,115.0,1980.0,0.0,0.0,0.0,18042177018
2026-04-08 11:12,Lunch Run,3.25,43:47,2627,13:28,140.4,159.0,91.9,619.0,2008.0,0.0,0.0,0.0,18028872704
2026-04-06 10:48,Morning Run,2.26,30:07,1807,13:20,150.2,165.0,128.0,137.0,1670.0,0.0,0.0,0.0,18001431802
2026-04-05 17:00,Afternoon Run,2.6,40:23,2423,15:31,140.9,159.0,108.3,551.0,1872.0,0.0,0.0,0.0,17992490375
2026-04-03 11:39,Lunch Run,3.13,44:11,2651,14:06,147.7,181.0,144.4,495.0,1976.0,180.0,0.0,0.0,17964694682
2026-04-01 12:28,Lunch Run,2.71,35:35,2135,13:08,156.7,187.0,98.4,247.0,1229.0,608.0,45.0,0.0,17940328919
2026-03-30 12:13,Lunch Run,2.01,30:53,1853,15:22,135.9,158.0,88.6,760.0,1093.0,0.0,0.0,0.0,17914309119
2026-03-29 13:43,Afternoon Run,2.31,35:00,2100,15:09,144.5,176.0,134.5,609.0,1362.0,129.0,0.0,0.0,17905114791
2026-03-27 13:03,Afternoon Run,2.57,37:02,2222,14:25,144.2,181.0,105.0,672.0,1185.0,364.0,0.0,0.0,17879421182
2026-03-25 16:39,Afternoon Run,2.51,34:59,2099,13:55,156.3,189.0,118.1,258.0,1161.0,585.0,95.0,0.0,17858366901
2026-03-23 18:45,Evening Run,3.2,40:45,2445,12:43,157.9,191.0,167.3,259.0,1356.0,638.0,192.0,0.0,17834123489
2026-03-19 16:32,Afternoon Run,2.42,29:48,1788,12:20,164.4,191.0,121.4,107.0,785.0,608.0,288.0,0.0,17784168432
2026-02-20 15:56,Afternoon Run,2.1,31:48,1908,15:09,145.1,165.0,72.2,178.0,1729.0,0.0,0.0,0.0,17465144376
2026-02-19 11:32,Lunch Run,3.25,41:10,2470,12:39,172.6,184.0,144.4,33.0,442.0,1987.0,8.0,0.0,17452229857
2026-02-15 16:12,Afternoon Run,0.76,16:15,975,21:18,130.4,152.0,0.0,540.0,435.0,0.0,0.0,0.0,17410515500
2026-02-14 13:13,Afternoon Run,5.0,1:05:16,3916,13:02,159.5,176.0,255.9,65.0,3262.0,590.0,0.0,0.0,17398393906
2026-02-13 17:53,Afternoon Run,3.32,41:50,2510,12:36,146.9,177.0,72.2,484.0,1705.0,294.0,0.0,0.0,17388933083
2026-02-11 11:50,Lunch Run,4.5,1:02:47,3767,13:56,165.8,180.0,275.6,70.0,1333.0,2364.0,0.0,0.0,17364871330
2026-02-06 17:28,Evening Run,5.21,1:01:42,3702,11:50,158.7,195.0,98.4,94.0,2783.0,682.0,136.0,0.0,17311088620
2026-02-05 11:18,Lunch Run,3.21,44:01,2641,13:43,157.3,176.0,62.3,62.0,2055.0,524.0,0.0,0.0,17297125724
2026-02-03 17:24,Afternoon Run,4.11,50:04,3004,12:11,160.6,179.0,39.4,134.0,1795.0,1069.0,0.0,0.0,17277753338
2026-01-29 18:12,Evening Run,3.4,40:41,2441,11:58,156.7,170.0,59.1,51.0,2331.0,52.0,0.0,0.0,17222443296
2026-01-27 19:46,Evening Run,4.01,41:18,2478,10:17,175.7,191.0,72.2,52.0,344.0,1171.0,897.0,0.0,17200664151
2026-01-25 07:12,Morning Run,5.01,52:45,3165,10:32,174.7,195.0,62.3,96.0,644.0,1175.0,1238.0,0.0,17173826661
2026-01-22 18:27,Evening Run,4.04,45:10,2710,11:10,171.4,199.0,128.0,100.0,689.0,1152.0,770.0,0.0,17144870426
2026-01-20 16:57,Afternoon Run,2.25,26:54,1614,11:57,175.8,192.0,111.5,32.0,136.0,1030.0,416.0,0.0,17121098917
2026-01-20 16:39,Afternoon Run,1.39,15:24,924,11:03,160.5,173.0,49.2,35.0,593.0,296.0,0.0,0.0,17121098824
2025-12-19 13:35,Long Run,8.4,1:40:03,6003,11:54,172.1,199.0,164.0,50.0,1728.0,2997.0,1223.0,0.0,16786946206
2025-12-18 10:34,Morning Run,4.52,55:52,3352,12:20,155.8,181.0,101.7,75.0,2451.0,823.0,0.0,0.0,16776806683
2025-12-17 17:21,Afternoon Run,2.3,19:57,1197,8:40,173.4,196.0,32.8,23.0,217.0,750.0,203.0,0.0,16770912333
2025-12-16 14:15,Afternoon Run,2.75,34:15,2055,12:26,143.9,163.0,45.9,398.0,1639.0,0.0,0.0,0.0,16759963969
2025-12-15 19:48,Evening Run,4.01,37:22,2242,9:19,173.5,194.0,32.8,7.0,501.0,1274.0,419.0,0.0,16753251864
2025-12-13 20:33,Evening Run,2.76,30:00,1800,10:52,159.1,186.0,62.3,53.0,1250.0,482.0,16.0,0.0,16735572996
2025-12-11 12:34,Lunch Run,3.6,42:44,2564,11:51,158.2,187.0,36.1,63.0,1883.0,556.0,63.0,0.0,16714306311
2025-12-09 12:24,Rosedal Run,3.59,38:52,2332,10:49,160.1,179.0,75.5,151.0,1176.0,1006.0,0.0,0.0,16695019575
2025-12-04 18:41,Evening Run,4.01,41:24,2484,10:18,168.7,194.0,32.8,22.0,618.0,1752.0,83.0,0.0,16652952223
2025-11-16 16:29,Afternoon Run,4.01,43:20,2600,10:48,164.5,186.0,141.1,67.0,1137.0,1317.0,80.0,0.0,16480252304
2025-11-08 12:53,Lunch Run,1.7,20:41,1241,12:08,147.9,170.0,183.7,165.0,980.0,90.0,0.0,0.0,16397420628
2025-11-08 12:04,Lunch Run,0.8,8:49,529,11:04,148.0,157.0,26.2,12.0,500.0,0.0,0.0,0.0,16397420647
2025-11-05 18:24,Evening Run,3.01,46:42,2802,15:31,139.5,153.0,141.1,350.0,2452.0,0.0,0.0,0.0,16369046487
2025-11-04 10:47,Morning Run,2.28,31:12,1872,13:41,138.2,154.0,114.8,338.0,1534.0,0.0,0.0,0.0,16353543901
2025-11-02 10:39,Long(est) Run,8.6,1:45:12,6312,12:13,156.1,185.0,298.6,184.0,4493.0,1582.0,53.0,0.0,16335126516
2025-10-31 15:42,Tempo,4.25,51:45,3105,12:10,155.5,192.0,285.4,108.0,2164.0,762.0,71.0,0.0,16315059351
2025-10-29 17:52,Recovery,2.01,30:02,1802,14:55,135.9,150.0,101.7,369.0,1427.0,0.0,0.0,0.0,16296900972
2025-10-28 17:58,Easy Run,3.15,45:55,2755,14:34,144.0,182.0,167.3,216.0,2366.0,173.0,0.0,0.0,16286827678
2025-10-27 18:12,Evening Run,0.82,20:01,1201,24:19,127.2,146.0,0.0,811.0,390.0,0.0,0.0,0.0,16275974428
2025-10-24 17:31,We’re so back,3.21,26:08,1568,8:07,180.8,194.0,62.3,17.0,172.0,404.0,974.0,0.0,16245498510
2025-10-19 16:44,First run in months,3.12,27:32,1652,8:49,174.9,189.0,180.4,23.0,334.0,771.0,516.0,0.0,16195632898
2025-08-12 17:56,Recovery Run,2.91,47:26,2846,16:18,138.2,157.0,226.4,547.0,2299.0,0.0,0.0,0.0,15438359450
2025-07-15 10:14,Morning Run,2.75,33:25,2005,12:08,161.8,184.0,85.3,119.0,904.0,943.0,23.0,0.0,15122845838
2025-07-03 19:22,Evening Run,5.01,1:04:10,3850,12:48,166.8,192.0,170.6,60.0,2008.0,1310.0,471.0,0.0,14999899548
2025-06-28 20:00,Evening Run,2.58,30:06,1806,11:40,172.6,190.0,236.2,53.0,314.0,1069.0,352.0,0.0,14947328104
2025-06-24 14:45,Afternoon Trail Run,2.13,43:28,2608,20:23,151.6,184.0,731.6,573.0,1359.0,656.0,20.0,0.0,14905602933
2025-06-13 17:57,Sprint Workout,3.32,46:17,2777,13:57,159.0,195.0,3.3,242.0,1487.0,791.0,194.0,0.0,14790735046
2025-06-11 15:58,Afternoon Run,3.12,34:12,2052,10:57,170.3,194.0,114.8,214.0,371.0,746.0,721.0,0.0,14770267103
2025-06-08 18:26,Evening Run,3.23,42:25,2545,13:08,153.5,192.0,118.1,256.0,1670.0,506.0,103.0,0.0,14739225672
